date,city,counts
2020-04-04,Amsterdam,5
2020-04-05,Amsterdam,4
2020-04-06,Amsterdam,3
2020-04-07,Amsterdam,5
2020-04-08,Amsterdam,6
2020-04-09,Amsterdam,4
2020-04-10,Amsterdam,2
2020-04-11,Amsterdam,4
2020-04-12,Amsterdam,2
2020-04-13,Amsterdam,5
2020-04-14,Amsterdam,1
2020-04-15,Amsterdam,3
2020-04-16,Amsterdam,1
2020-04-17,Amsterdam,5
2020-04-18,Amsterdam,5
2020-04-19,Amsterdam,3
2020-04-20,Amsterdam,2
2020-04-21,Amsterdam,3
2020-04-22,Amsterdam,2
2020-04-23,Amsterdam,1
2020-04-24,Amsterdam,4
2020-04-26,Amsterdam,1
2020-04-27,Amsterdam,6
2020-04-28,Amsterdam,4
2020-04-29,Amsterdam,4
2020-04-30,Amsterdam,1
2020-05-01,Amsterdam,2
2020-05-02,Amsterdam,2
2020-05-03,Amsterdam,1
2020-05-04,Amsterdam,1
2020-05-05,Amsterdam,3
2020-05-06,Amsterdam,3
2020-05-07,Amsterdam,2
2020-05-08,Amsterdam,3
2020-05-09,Amsterdam,4
2020-05-10,Amsterdam,2
2020-05-11,Amsterdam,3
2020-05-13,Amsterdam,2
2020-05-14,Amsterdam,1
2020-05-15,Amsterdam,4
2020-05-16,Amsterdam,1
2020-05-17,Amsterdam,1
2020-05-18,Amsterdam,5
2020-05-20,Amsterdam,4
2020-05-21,Amsterdam,2
2020-05-22,Amsterdam,2
2020-05-23,Amsterdam,1
2020-05-24,Amsterdam,1
2020-05-25,Amsterdam,1
2020-05-26,Amsterdam,2
2020-05-27,Amsterdam,5
2020-05-28,Amsterdam,5
2020-05-29,Amsterdam,9
2020-05-30,Amsterdam,4
2020-05-31,Amsterdam,3
2020-06-01,Amsterdam,3
2020-06-02,Amsterdam,2
2020-06-03,Amsterdam,4
2020-06-04,Amsterdam,2
2020-06-05,Amsterdam,3
2020-06-07,Amsterdam,1
2020-06-08,Amsterdam,1
2020-06-09,Amsterdam,1
2020-06-10,Amsterdam,3
2020-06-11,Amsterdam,1
2020-06-12,Amsterdam,3
2020-06-14,Amsterdam,1
2020-06-15,Amsterdam,2
2020-06-16,Amsterdam,2
2020-06-17,Amsterdam,5
2020-06-18,Amsterdam,3
2020-06-19,Amsterdam,2
2020-06-20,Amsterdam,2
2020-06-21,Amsterdam,2
2020-06-22,Amsterdam,3
2020-06-23,Amsterdam,2
2020-06-24,Amsterdam,3
2020-06-25,Amsterdam,2
2020-06-26,Amsterdam,3
2020-06-27,Amsterdam,2
2020-06-29,Amsterdam,2
2020-07-01,Amsterdam,2
2020-07-02,Amsterdam,4
2020-07-03,Amsterdam,2
2020-07-04,Amsterdam,3
2020-07-05,Amsterdam,3
2020-07-06,Amsterdam,1
2020-07-07,Amsterdam,2
2020-07-08,Amsterdam,3
2020-07-09,Amsterdam,3
2020-07-10,Amsterdam,4
2020-07-11,Amsterdam,2
2020-07-13,Amsterdam,6
2020-07-14,Amsterdam,1
2020-07-15,Amsterdam,1
2020-07-16,Amsterdam,3
2020-07-17,Amsterdam,2
2020-07-18,Amsterdam,2
2020-07-19,Amsterdam,3
2020-07-20,Amsterdam,2
2020-07-21,Amsterdam,7
2020-07-22,Amsterdam,7
2020-07-23,Amsterdam,3
2020-07-25,Amsterdam,6
2020-07-26,Amsterdam,1
2020-07-27,Amsterdam,1
2020-07-28,Amsterdam,4
2020-07-29,Amsterdam,3
2020-07-30,Amsterdam,2
2020-07-31,Amsterdam,5
2020-08-01,Amsterdam,1
2020-08-03,Amsterdam,3
2020-08-04,Amsterdam,1
2020-08-05,Amsterdam,2
2020-08-06,Amsterdam,3
2020-08-07,Amsterdam,5
2020-08-08,Amsterdam,6
2020-08-09,Amsterdam,5
2020-08-10,Amsterdam,4
2020-08-11,Amsterdam,4
2020-08-12,Amsterdam,2
2020-08-13,Amsterdam,4
2020-08-14,Amsterdam,7
2020-08-15,Amsterdam,3
2020-08-16,Amsterdam,4
2020-08-17,Amsterdam,5
2020-08-18,Amsterdam,2
2020-08-19,Amsterdam,2
2020-08-20,Amsterdam,3
2020-08-21,Amsterdam,2
2020-08-22,Amsterdam,1
2020-08-24,Amsterdam,4
2020-08-25,Amsterdam,9
2020-08-26,Amsterdam,9
2020-08-27,Amsterdam,5
2020-08-28,Amsterdam,3
2020-08-29,Amsterdam,2
2020-08-30,Amsterdam,2
2020-08-31,Amsterdam,2
2020-09-01,Amsterdam,8
2020-09-02,Amsterdam,2
2020-09-03,Amsterdam,1
2020-09-04,Amsterdam,1
2020-09-05,Amsterdam,2
2020-09-06,Amsterdam,1
2020-09-07,Amsterdam,2
2020-09-08,Amsterdam,6
2020-09-09,Amsterdam,5
2020-09-10,Amsterdam,3
2020-09-11,Amsterdam,7
2020-09-12,Amsterdam,1
2020-09-13,Amsterdam,1
2020-09-14,Amsterdam,2
2020-09-15,Amsterdam,4
2020-09-16,Amsterdam,2
2020-09-17,Amsterdam,3
2020-09-18,Amsterdam,13
2020-09-19,Amsterdam,4
2020-09-20,Amsterdam,7
2020-09-21,Amsterdam,7
2020-09-22,Amsterdam,3
2020-09-23,Amsterdam,13
2020-09-24,Amsterdam,5
2020-09-25,Amsterdam,2
2020-09-26,Amsterdam,2
2020-09-27,Amsterdam,2
2020-09-29,Amsterdam,3
2020-09-30,Amsterdam,4
2020-10-01,Amsterdam,3
2020-10-02,Amsterdam,4
2020-10-03,Amsterdam,3
2020-10-04,Amsterdam,4
2020-10-05,Amsterdam,3
2020-10-06,Amsterdam,3
2020-10-07,Amsterdam,4
2020-10-08,Amsterdam,2
2020-10-10,Amsterdam,2
2020-10-11,Amsterdam,3
2020-10-12,Amsterdam,4
2020-10-13,Amsterdam,4
2020-10-14,Amsterdam,6
2020-10-15,Amsterdam,7
2020-10-16,Amsterdam,4
2020-10-17,Amsterdam,2
2020-10-18,Amsterdam,2
2020-10-20,Amsterdam,5
2020-10-21,Amsterdam,2
2020-10-22,Amsterdam,4
2020-10-23,Amsterdam,2
2020-10-24,Amsterdam,2
2020-10-25,Amsterdam,1
2020-10-26,Amsterdam,2
2020-10-27,Amsterdam,7
2020-10-28,Amsterdam,1
2020-10-29,Amsterdam,6
2020-10-30,Amsterdam,4
2020-10-31,Amsterdam,5
2020-11-01,Amsterdam,1
2020-11-02,Amsterdam,7
2020-11-03,Amsterdam,3
2020-11-04,Amsterdam,4
2020-11-05,Amsterdam,1
2020-11-06,Amsterdam,2
2020-11-07,Amsterdam,2
2020-11-08,Amsterdam,2
2020-11-09,Amsterdam,6
2020-11-10,Amsterdam,7
2020-11-11,Amsterdam,4
2020-11-12,Amsterdam,1
2020-11-13,Amsterdam,1
2020-11-14,Amsterdam,1
2020-11-15,Amsterdam,2
2020-11-16,Amsterdam,2
2020-11-17,Amsterdam,5
2020-11-18,Amsterdam,6
2020-11-19,Amsterdam,6
2020-11-20,Amsterdam,16
2020-11-21,Amsterdam,2
2020-11-23,Amsterdam,5
2020-11-24,Amsterdam,2
2020-11-25,Amsterdam,3
2020-11-26,Amsterdam,3
2020-11-27,Amsterdam,4
2020-11-28,Amsterdam,7
2020-11-29,Amsterdam,4
2020-11-30,Amsterdam,2
2020-12-01,Amsterdam,5
2020-12-02,Amsterdam,2
2020-12-04,Amsterdam,2
2020-12-05,Amsterdam,1
2020-12-06,Amsterdam,1
2020-12-07,Amsterdam,3
2020-12-08,Amsterdam,6
2020-12-09,Amsterdam,4
2020-12-10,Amsterdam,1
2020-12-11,Amsterdam,2
2020-12-12,Amsterdam,4
2020-12-13,Amsterdam,1
2020-12-14,Amsterdam,4
2020-12-15,Amsterdam,7
2020-12-16,Amsterdam,2
2020-12-17,Amsterdam,4
2020-12-18,Amsterdam,4
2020-12-21,Amsterdam,3
2020-12-22,Amsterdam,3
2020-12-23,Amsterdam,5
2020-12-24,Amsterdam,1
2020-12-25,Amsterdam,1
2020-12-28,Amsterdam,4
2020-12-29,Amsterdam,4
2020-12-30,Amsterdam,3
2021-01-01,Amsterdam,4
2021-01-03,Amsterdam,1
2021-01-04,Amsterdam,2
2021-01-05,Amsterdam,1
2021-01-06,Amsterdam,2
2021-01-07,Amsterdam,3
2021-01-08,Amsterdam,16
2021-01-10,Amsterdam,5
2021-01-11,Amsterdam,2
2021-01-12,Amsterdam,7
2021-01-13,Amsterdam,9
2021-01-14,Amsterdam,1
2021-01-15,Amsterdam,4
2021-01-16,Amsterdam,3
2021-01-17,Amsterdam,8
2021-01-18,Amsterdam,5
2021-01-19,Amsterdam,2
2021-01-20,Amsterdam,6
2021-01-21,Amsterdam,7
2021-01-22,Amsterdam,2
2021-01-23,Amsterdam,3
2021-01-24,Amsterdam,6
2021-01-25,Amsterdam,8
2021-01-26,Amsterdam,9
2021-01-27,Amsterdam,9
2021-01-28,Amsterdam,5
2021-01-29,Amsterdam,9
2021-01-30,Amsterdam,1
2021-01-31,Amsterdam,10
2021-02-01,Amsterdam,2
2021-02-02,Amsterdam,6
2021-02-03,Amsterdam,3
2021-02-04,Amsterdam,3
2021-02-05,Amsterdam,4
2021-02-06,Amsterdam,1
2021-02-07,Amsterdam,1
2021-02-08,Amsterdam,3
2021-02-09,Amsterdam,5
2021-02-10,Amsterdam,3
2021-02-11,Amsterdam,2
2021-02-12,Amsterdam,1
2021-02-14,Amsterdam,5
2021-02-15,Amsterdam,1
2021-02-16,Amsterdam,10
2021-02-17,Amsterdam,4
2021-02-19,Amsterdam,5
2021-02-20,Amsterdam,1
2021-02-21,Amsterdam,12
2021-02-22,Amsterdam,9
2021-02-23,Amsterdam,2
2021-02-24,Amsterdam,8
2021-02-25,Amsterdam,2
2021-02-26,Amsterdam,2
2021-02-27,Amsterdam,1
2021-02-28,Amsterdam,6
2021-03-01,Amsterdam,2
2021-03-02,Amsterdam,3
2021-03-03,Amsterdam,1
2021-03-04,Amsterdam,4
2021-03-05,Amsterdam,2
2021-03-06,Amsterdam,1
2021-03-07,Amsterdam,5
2021-03-08,Amsterdam,4
2021-03-09,Amsterdam,6
2021-03-10,Amsterdam,3
2021-03-11,Amsterdam,10
2021-03-12,Amsterdam,1
2021-03-13,Amsterdam,3
2021-03-14,Amsterdam,3
2021-03-15,Amsterdam,3
2021-03-16,Amsterdam,2
2021-03-17,Amsterdam,2
2021-03-18,Amsterdam,4
2021-03-19,Amsterdam,1
2021-03-20,Amsterdam,7
2021-03-21,Amsterdam,10
2021-03-22,Amsterdam,9
2021-03-23,Amsterdam,1
2021-03-24,Amsterdam,3
2021-03-25,Amsterdam,3
2021-03-26,Amsterdam,1
2021-03-28,Amsterdam,5
2021-03-29,Amsterdam,2
2021-03-30,Amsterdam,7
2021-03-31,Amsterdam,2
2021-04-01,Amsterdam,4
2021-04-03,Amsterdam,2
2021-04-04,Amsterdam,1
2021-04-06,Amsterdam,4
2021-04-07,Amsterdam,5
2021-04-08,Amsterdam,3
2021-04-09,Amsterdam,1
2021-04-10,Amsterdam,2
2021-04-12,Amsterdam,2
2021-04-13,Amsterdam,4
2021-04-14,Amsterdam,1
2021-04-15,Amsterdam,5
2021-04-16,Amsterdam,3
2021-04-17,Amsterdam,4
2021-04-18,Amsterdam,6
2021-04-19,Amsterdam,4
2021-04-20,Amsterdam,5
2021-04-23,Amsterdam,2
2021-04-26,Amsterdam,1
2021-04-27,Amsterdam,10
2021-04-28,Amsterdam,2
2021-04-30,Amsterdam,3
2021-05-01,Amsterdam,1
2021-05-02,Amsterdam,1
2021-05-03,Amsterdam,2
2021-05-04,Amsterdam,1
2021-05-06,Amsterdam,2
2021-05-07,Amsterdam,3
2021-05-08,Amsterdam,1
2021-05-09,Amsterdam,1
2021-05-10,Amsterdam,6
2021-05-11,Amsterdam,9
2021-05-14,Amsterdam,1
2021-05-15,Amsterdam,2
2021-05-16,Amsterdam,2
2021-05-17,Amsterdam,5
2021-05-18,Amsterdam,1
2021-05-19,Amsterdam,8
2021-05-20,Amsterdam,4
2021-05-21,Amsterdam,7
2021-05-22,Amsterdam,7
2021-05-23,Amsterdam,1
2021-05-27,Amsterdam,1
2021-05-28,Amsterdam,3
2021-05-30,Amsterdam,1
2021-05-31,Amsterdam,2
2021-06-01,Amsterdam,1
2021-06-02,Amsterdam,4
2021-06-03,Amsterdam,3
2021-06-04,Amsterdam,2
2021-06-05,Amsterdam,1
2021-06-06,Amsterdam,3
2021-06-08,Amsterdam,2
2021-06-11,Amsterdam,3
2021-06-13,Amsterdam,6
2021-06-15,Amsterdam,1
2021-06-16,Amsterdam,2
2021-06-17,Amsterdam,2
2021-06-18,Amsterdam,1
2021-06-21,Amsterdam,1
2021-06-22,Amsterdam,2
2021-06-23,Amsterdam,8
2021-06-24,Amsterdam,2
2021-06-25,Amsterdam,2
2021-06-28,Amsterdam,2
2021-06-29,Amsterdam,2
2021-06-30,Amsterdam,1
2021-07-01,Amsterdam,1
2021-07-02,Amsterdam,1
2021-07-05,Amsterdam,4
2021-07-06,Amsterdam,11
2021-07-07,Amsterdam,4
2021-07-08,Amsterdam,16
2021-07-09,Amsterdam,6
2021-07-13,Amsterdam,6
2021-07-14,Amsterdam,1
2021-07-15,Amsterdam,2
2021-07-16,Amsterdam,2
2021-07-18,Amsterdam,3
2021-07-19,Amsterdam,3
2021-07-21,Amsterdam,4
2021-07-22,Amsterdam,1
2021-07-23,Amsterdam,1
2021-07-26,Amsterdam,1
2021-07-27,Amsterdam,2
2021-07-28,Amsterdam,1
2021-07-29,Amsterdam,4
2021-07-30,Amsterdam,2
2021-08-01,Amsterdam,3
2021-08-02,Amsterdam,6
2021-08-03,Amsterdam,1
2021-08-04,Amsterdam,4
2021-08-05,Amsterdam,1
2021-08-07,Amsterdam,3
2021-08-08,Amsterdam,1
2021-08-09,Amsterdam,3
2021-08-10,Amsterdam,1
2021-08-11,Amsterdam,2
2021-08-12,Amsterdam,2
2021-08-13,Amsterdam,2
2021-08-15,Amsterdam,1
2021-08-16,Amsterdam,1
2021-08-17,Amsterdam,1
2021-08-19,Amsterdam,4
2021-08-20,Amsterdam,6
2021-08-23,Amsterdam,1
2021-08-24,Amsterdam,1
2021-08-25,Amsterdam,2
2021-08-27,Amsterdam,1
2021-08-28,Amsterdam,2
2021-08-29,Amsterdam,1
2021-09-01,Amsterdam,1
2021-09-02,Amsterdam,4
2021-09-03,Amsterdam,3
2021-09-05,Amsterdam,2
2021-09-07,Amsterdam,1
2021-09-08,Amsterdam,2
2021-09-09,Amsterdam,2
2021-09-11,Amsterdam,1
2021-09-12,Amsterdam,2
2021-09-13,Amsterdam,2
2021-09-14,Amsterdam,1
2021-09-16,Amsterdam,2
2021-09-17,Amsterdam,2
2021-09-20,Amsterdam,4
2021-09-21,Amsterdam,6
2021-09-22,Amsterdam,4
2021-09-23,Amsterdam,1
2021-09-24,Amsterdam,1
2021-09-25,Amsterdam,1
2021-09-26,Amsterdam,1
2021-09-27,Amsterdam,4
2021-09-28,Amsterdam,3
2021-09-29,Amsterdam,1
2021-09-30,Amsterdam,1
2021-10-01,Amsterdam,1
2021-10-02,Amsterdam,3
2021-10-04,Amsterdam,1
2021-10-05,Amsterdam,2
2021-10-06,Amsterdam,2
2021-10-07,Amsterdam,1
2021-10-08,Amsterdam,4
2021-10-11,Amsterdam,2
2021-10-12,Amsterdam,5
2021-10-13,Amsterdam,2
2021-10-14,Amsterdam,2
2021-10-15,Amsterdam,3
2021-10-16,Amsterdam,1
2021-10-17,Amsterdam,1
2021-10-18,Amsterdam,2
2021-10-19,Amsterdam,6
2021-10-20,Amsterdam,1
2021-10-21,Amsterdam,5
2021-10-22,Amsterdam,3
2021-10-23,Amsterdam,3
2021-10-24,Amsterdam,1
2021-10-25,Amsterdam,2
2021-10-26,Amsterdam,4
2021-10-27,Amsterdam,4
2021-10-28,Amsterdam,3
2021-10-29,Amsterdam,6
2021-10-30,Amsterdam,2
2021-11-01,Amsterdam,2
2021-11-02,Amsterdam,5
2021-11-03,Amsterdam,2
2021-11-04,Amsterdam,2
2021-11-05,Amsterdam,2
2021-11-06,Amsterdam,3
2021-11-08,Amsterdam,1
2021-11-09,Amsterdam,1
2021-11-10,Amsterdam,3
2021-11-11,Amsterdam,6
2021-11-12,Amsterdam,2
2021-11-13,Amsterdam,1
2021-11-16,Amsterdam,1
2021-11-17,Amsterdam,2
2021-11-18,Amsterdam,5
2021-11-19,Amsterdam,1
2021-11-20,Amsterdam,3
2021-11-22,Amsterdam,4
2021-11-23,Amsterdam,3
2021-11-24,Amsterdam,4
2021-11-25,Amsterdam,1
2021-11-26,Amsterdam,3
2021-11-27,Amsterdam,1
2021-11-28,Amsterdam,1
2021-11-29,Amsterdam,6
2021-11-30,Amsterdam,3
2021-12-01,Amsterdam,3
2021-12-02,Amsterdam,3
2021-12-03,Amsterdam,6
2021-12-04,Amsterdam,4
2021-12-06,Amsterdam,1
2021-12-07,Amsterdam,4
2021-12-08,Amsterdam,8
2021-12-09,Amsterdam,4
2021-12-10,Amsterdam,2
2021-12-12,Amsterdam,1
2021-12-14,Amsterdam,1
2021-12-15,Amsterdam,3
2021-12-16,Amsterdam,6
2021-12-17,Amsterdam,6
2021-12-19,Amsterdam,3
2021-12-20,Amsterdam,8
2021-12-21,Amsterdam,2
2021-12-22,Amsterdam,6
2021-12-23,Amsterdam,9
2021-12-24,Amsterdam,5
2021-12-25,Amsterdam,1
2021-12-28,Amsterdam,4
2021-12-30,Amsterdam,2
2021-12-31,Amsterdam,3
2022-01-01,Amsterdam,1
2022-01-02,Amsterdam,6
2022-01-03,Amsterdam,2
2022-01-04,Amsterdam,2
2022-01-05,Amsterdam,2
2022-01-06,Amsterdam,2
2022-01-07,Amsterdam,2
2022-01-08,Amsterdam,3
2022-01-09,Amsterdam,1
2022-01-10,Amsterdam,1
2022-01-11,Amsterdam,3
2022-01-12,Amsterdam,16
2022-01-13,Amsterdam,10
2022-01-14,Amsterdam,3
2022-01-16,Amsterdam,6
2022-01-17,Amsterdam,5
2022-01-18,Amsterdam,6
2022-01-19,Amsterdam,3
2022-01-20,Amsterdam,3
2022-01-21,Amsterdam,4
2022-01-22,Amsterdam,2
2022-01-23,Amsterdam,2
2022-01-24,Amsterdam,4
2022-01-25,Amsterdam,2
2022-01-26,Amsterdam,5
2022-01-27,Amsterdam,4
2022-01-28,Amsterdam,4
2022-01-30,Amsterdam,1
2022-01-31,Amsterdam,4
2022-02-01,Amsterdam,2
2022-02-02,Amsterdam,5
2022-02-03,Amsterdam,2
2022-02-04,Amsterdam,6
2022-02-05,Amsterdam,2
2022-02-06,Amsterdam,1
2022-02-07,Amsterdam,2
2022-02-08,Amsterdam,3
2022-02-09,Amsterdam,5
2022-02-10,Amsterdam,1
2022-02-11,Amsterdam,2
2022-02-12,Amsterdam,3
2022-02-14,Amsterdam,4
2022-02-15,Amsterdam,5
2022-02-16,Amsterdam,2
2022-02-17,Amsterdam,2
2022-02-18,Amsterdam,7
2022-02-19,Amsterdam,1
2022-02-20,Amsterdam,1
2022-02-22,Amsterdam,20
2022-02-23,Amsterdam,4
2022-02-24,Amsterdam,15
2022-02-25,Amsterdam,1
2022-02-28,Amsterdam,2
2022-03-01,Amsterdam,1
2022-03-03,Amsterdam,2
2022-03-05,Amsterdam,1
2022-03-06,Amsterdam,1
2022-03-08,Amsterdam,1
2022-03-09,Amsterdam,2
2022-03-10,Amsterdam,3
2022-03-13,Amsterdam,2
2022-03-15,Amsterdam,4
2022-03-16,Amsterdam,5
2022-03-17,Amsterdam,5
2022-03-18,Amsterdam,1
2022-03-20,Amsterdam,3
2022-03-23,Amsterdam,6
2022-03-24,Amsterdam,3
2022-03-25,Amsterdam,2
2022-03-26,Amsterdam,1
2022-03-27,Amsterdam,4
2022-03-28,Amsterdam,4
2022-03-29,Amsterdam,2
2022-03-30,Amsterdam,2
2022-03-31,Amsterdam,1
2022-04-01,Amsterdam,9
2022-04-03,Amsterdam,1
2022-04-04,Amsterdam,1
2022-04-06,Amsterdam,2
2022-04-07,Amsterdam,6
2022-04-08,Amsterdam,2
2022-04-10,Amsterdam,1
2022-04-11,Amsterdam,3
2022-04-12,Amsterdam,2
2022-04-13,Amsterdam,1
2022-04-14,Amsterdam,11
2022-04-15,Amsterdam,2
2022-04-20,Amsterdam,4
2022-04-21,Amsterdam,2
2022-04-22,Amsterdam,2
2022-04-25,Amsterdam,1
2022-04-27,Amsterdam,9
2022-04-28,Amsterdam,1
2022-04-29,Amsterdam,3
2022-05-01,Amsterdam,5
2022-05-02,Amsterdam,2
2022-05-03,Amsterdam,1
2022-05-04,Amsterdam,2
2022-05-06,Amsterdam,1
2022-05-07,Amsterdam,1
2022-05-09,Amsterdam,2
2022-05-10,Amsterdam,1
2022-05-11,Amsterdam,2
2022-05-12,Amsterdam,3
2022-05-16,Amsterdam,2
2022-05-17,Amsterdam,1
2022-05-18,Amsterdam,6
2022-05-19,Amsterdam,2
2022-05-20,Amsterdam,1
2022-05-22,Amsterdam,1
2022-05-23,Amsterdam,2
2022-05-24,Amsterdam,2
2022-05-25,Amsterdam,2
2022-05-28,Amsterdam,1
2022-05-29,Amsterdam,1
2022-05-30,Amsterdam,1
2022-06-01,Amsterdam,7
2022-06-02,Amsterdam,2
2022-06-03,Amsterdam,4
2022-06-04,Amsterdam,1
2022-06-06,Amsterdam,2
2022-06-07,Amsterdam,1
2022-06-08,Amsterdam,5
2022-06-09,Amsterdam,1
2022-06-10,Amsterdam,1
2022-06-11,Amsterdam,2
2022-06-12,Amsterdam,1
2022-06-14,Amsterdam,1
2022-06-15,Amsterdam,2
2022-06-16,Amsterdam,4
2022-06-17,Amsterdam,3
2022-06-19,Amsterdam,1
2022-06-20,Amsterdam,5
2022-06-21,Amsterdam,3
2022-06-22,Amsterdam,3
2022-06-23,Amsterdam,3
2022-06-24,Amsterdam,2
2022-06-25,Amsterdam,1
2022-06-26,Amsterdam,1
2022-06-27,Amsterdam,1
2022-06-29,Amsterdam,1
2022-06-30,Amsterdam,5
2022-07-01,Amsterdam,8
2022-07-05,Amsterdam,1
2022-07-06,Amsterdam,3
2022-07-07,Amsterdam,3
2022-07-08,Amsterdam,10
2022-07-09,Amsterdam,1
2022-07-10,Amsterdam,1
2022-07-11,Amsterdam,4
2022-07-13,Amsterdam,7
2022-07-14,Amsterdam,4
2022-07-15,Amsterdam,6
2022-07-16,Amsterdam,2
2022-07-17,Amsterdam,1
2022-07-18,Amsterdam,1
2022-07-19,Amsterdam,3
2022-07-20,Amsterdam,4
2022-07-21,Amsterdam,2
2022-07-22,Amsterdam,2
2022-07-23,Amsterdam,1
2022-07-25,Amsterdam,1
2022-07-26,Amsterdam,4
2022-07-28,Amsterdam,1
2022-08-02,Amsterdam,2
2022-08-03,Amsterdam,2
2022-08-04,Amsterdam,2
2022-08-05,Amsterdam,1
2022-08-06,Amsterdam,2
2022-08-10,Amsterdam,2
2022-08-11,Amsterdam,1
2022-08-12,Amsterdam,2
2022-08-13,Amsterdam,1
2022-08-14,Amsterdam,1
2022-08-15,Amsterdam,1
2022-08-16,Amsterdam,1
